,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
17,284882215,Facebook,389879808,USD,0,2974676,212,3.5,3.5,95,4+,Social Networking,37,1,29,1
591,389801252,Instagram,113954816,USD,0,2161558,1289,4.5,4,10.23,12+,Photo & Video,37,0,29,1
863,429047995,Pinterest,74778624,USD,0,1061624,1814,4.5,4,6.26,12+,Social Networking,37,5,27,1
104,304878510,Skype for iPhone,133238784,USD,0,373519,127,3.5,4,6.35.1,4+,Social Networking,37,0,32,1
1041,454638411,Messenger,275729408,USD,0,351466,892,3,3,119,4+,Social Networking,37,1,33,1
105,305343404,Tumblr,151573504,USD,0,334293,919,4,4,8.6,17+,Social Networking,37,5,16,1
997,447188370,Snapchat,203038720,USD,0,323905,576,2.5,3,10.9.2.0,12+,Photo & Video,37,0,22,1
140,310633997,WhatsApp Messenger,135044096,USD,0,287589,73088,4.5,4.5,2.17.22,4+,Social Networking,12,0,35,1
1660,544007664,YouTube,124673024,USD,0,278166,0,2.5,0,12.21,17+,Photo & Video,37,4,34,1
375,357218860,Kik,151864320,USD,0,260965,228,4,3,11.21.0,12+,Social Networking,37,0,14,0
860,428845974,ooVoo,113510400,USD,0,177501,1014,4.5,4.5,3.1.6,4+,Social Networking,37,5,21,1
161,314716233,TextNow,130637824,USD,0,164963,69,3.5,4,8.5.1,4+,Social Networking,37,5,3,1
544,382617920,Viber Messenger,129657856,USD,0,164249,206,4.5,4.5,6.9.0,4+,Social Networking,37,5,32,1
2984,835599320,musical.ly,173910016,USD,0,105429,0,4.5,0,5.7.3,12+,Photo & Video,37,0,21,1
471,372648912,MeetMe,133956608,USD,0,97072,143,4,3.5,12.1.1.0,17+,Social Networking,37,0,18,1
1632,539124565,We Heart It,79953920,USD,0,90414,44,5,4,8.3.0,12+,Social Networking,37,5,31,1
2033,592447445,Vine Camera,51642368,USD,0,90355,150,3.5,1.5,6.0.2,4+,Photo & Video,37,0,25,1
1449,512727332,Flipagram,84792320,USD,0,79905,324,4.5,4.5,8.19.2,12+,Photo & Video,37,5,36,1
470,372513032,"Tango - Free Video Call, Voice and Chat",134848512,USD,0,75412,66,4.5,4.5,4.1.219400,17+,Social Networking,37,5,18,1
34,288429040,LinkedIn,273844224,USD,0,71856,62,3.5,4.5,9.1.32,4+,Social Networking,37,2,23,1
107,305939712,Match?,101259264,USD,0,60659,57,3,2.5,17.05.01,17+,Social Networking,37,5,10,1
